Field	en	af	my	et	et-placeholders	et	et-placeholders	fi	fi-placeholders	fi	fi-placeholders	fi	fi-placeholders	fr	fr-placeholders	fr	fr-placeholders	fr	fr-placeholders	he	he-placeholders	he	he-placeholders	it	it-placeholders	it	it-placeholders	jv	es	es-placeholders	es	es-placeholders	sw	th	uk	uk-placeholders	uk	uk-placeholders	uk	uk-placeholders	uk	uk-placeholders	qu	qu-placeholders	ur	ur-placeholders	ur	ur-placeholders	eu	ar	bg	bg-placeholders	bg	bg-placeholders	bg	bg-placeholders	bn	nl	nl-placeholders	nl	nl-placeholders	zh	de	de-placeholders	de	de-placeholders	de	de-placeholders	ka	hi	hi-placeholders	hi	hi-placeholders	ht	id	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ru	ru-placeholders	ja	ja-placeholders	ja	ja-placeholders	ta	ta-placeholders	ta	ta-placeholders	ta	ta-placeholders	ta	ta-placeholders	kk	fa	fa-placeholders	fa	fa-placeholders	fa	fa-placeholders	ko	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	pl	pl-placeholders	hu	hu-placeholders	hu	hu-placeholders	pt	pt-placeholders	pt	pt-placeholders	ms	az	el	el-placeholders	el	el-placeholders	el	el-placeholders	gu	ha	lt	lt-placeholders	lt	lt-placeholders	lt	lt-placeholders	ml	mr	mr-placeholders	mr	mr-placeholders	mr	mr-placeholders	pa	pa-placeholders	pa	pa-placeholders	tl	te	tr	tr-placeholders	tr	tr-placeholders	vi	vi-placeholders	vi	vi-placeholders	vi	vi-placeholders	vi	vi-placeholders	wo	yo	yo-placeholders	yo	yo-placeholders
adj	younger, young	jonger, jonk	ပို၍ငယ်သော၊ ငယ်သော	noorem, noor				nuorempi, nuori						plus jeune, jeune						צעיר יותר, צעיר				più giovane, giovane				luwih enom, enom	más joven, joven				mchanga zaidi, mchanga	อายุน้อยกว่า อายุน้อย	молодший, молодий								aswan warmam, warma		چھوٹا، چھوٹا				gazteagoa, gaztea	أصغر، صغير	по-млад, млад						বেশি তরুণ, তরুণ	jonger, jong				更年轻，年长	jünger, jung						უფრო ახალგაზრდა, ახალგაზრდა	आयु में अधिक छोटा, आयु में छोटा				pi jèn, jèn	lebih muda, muda	моложе, старше																年少, 年少				இளையவர், இளமை உடையவர்								жасырақ, жас	جوان‌تر، جوان						더 어린, 어린	młodszy, młody												fiatalabb, idősebb				mais novo, novo				lebih muda, muda	daha gəncdir, gəncdir	νεότερος, νέος						વધુ નાનો, નાનો	yarinta sosai, yarinta	jaunesnis, jaunas						ചെറുപ്പമുള്ളത്, ചെറുപ്പം	अधिक तरूण, तरूण						ਛੋਟਾ, ਛੋਟਾ				mas bata, bata	చిన్నవారు, చిన్న	daha genç, genç				nhỏ tuổi hơn, nhỏ tuổi								gëna ndàw, ndàw	kéré-jù, kéré			
adj	stronger, strong	sterker, sterk	ပို၍သန်မာသော၊ သန်မာသော	tugevam, tugev				vahvempi, vahva						plus fort, fort						חזק יותר, חזק				più forte, forte				luwih kuwat, kuwat	más fuerte, fuerte				mwenye nguvu zaidi, mwenye nguvu	แข็งแรงกว่า แข็งแรง	сильніший, сильний								aswan sinchim, sinchi		زیادہ مضبوط، مضبوط				indartsuagoa, indartsua	أقوى، قوي	по-силен, силен						বেশি শক্তিশালী, শক্তিশালী	sterker, sterk				更强壮，软弱	stärker, stark						უფრო მტკიცე, მტკიცე	अधिक शक्तिशाली, शक्तिशाली				pi fò, fò	lebih kuat, kuat	сильнее, слабее																強い, 強い				வலிமையானவர், வலிமையானவர்								күштірек, күшті	قوی‌تر، قوی						더 힘쎈, 힘쎈	silniejszy, silny												erősebb, gyengébb				mais forte, forte				lebih kuat, kuat	daha güclüdür, güclüdür	δυνατότερος, δυνατός						વધુ મજબૂત, મજબૂત	ƙarfi sosai, ƙarfi	stipresnis, stiprus						കരുത്തുള്ളത്, കരുത്ത്	अधिक सशक्त, सशक्त						ਤਾਕਤਵਰ, ਤਾਕਤਵਰ				mas malakas, malakas	బలమైనవారు, బలం	daha güçlü, güçlü				khỏe mạnh hơn, khỏe mạnh								ëpp doole, am doole	lágbára-jù, lágbára			
adj	shorter, short	korter, kort	ပို၍တိုသော၊ တိုသော	lühem, lühike				lyhempi, lyhyt						plus court, court						נמוך יותר, נמוך				più basso, basso				luwih endhek, endhek	más bajo, bajo				mfupi zaidi, mfupi	เตี้ยกว่า เตี้ย	нижчий, невисокий								aswan taksam, taksa		چھوٹا، چھوٹا				baxuagoa, baxua	أقصر، قصير	по-нисък, нисък						বেশি খাটো, খাটো	kleiner, klein				更矮，高	kürzer, kurz						უფრო დაბალი, დაბალი	अधिक नाटा, नाटा				pi kout, kout	lebih pendek, pendek	ниже, выше																小柄, 小柄				குள்ளமானவர், குள்ளமானவர்								қысқарақ, қысқа	قدکوتاه‌تر، قدکوتاه						더 작은, 작은	niższy, niski												alacsonyabb, magasabb				mais baixo, baixo				lebih pendek, pendek	daha gödəkdir, gödəkdir	κοντύτερος, κοντός						વધુ ઠીંગણો, ઠીંગણો	gajarta sosai, gajere	žemesnis, žemas						ഹ്രസ്വമായത്, ഹ്രസ്വം	अधिक लहान, लहान						ਮਧਰਾ, ਮਧਰਾ				mas pandak, pandak	పొట్టివారు, పొట్టి	daha kısa, kısa				thấp hơn, thấp								gëna gàtt, gàtt	kúrú-jù, kúrú			
adj	tougher, tough	taaier, taai	ပို၍ခက်ခဲကြမ်းတမ်းသော၊ ခက်ခဲကြမ်းတမ်းသော	karmim, karm				sinnikkäämpi, sinnikäs						plus dur, dur						קשוח יותר, קשוח				più tosto, tosto				luwih kuwat, kuwat	más fuerte, fuerte				shupavu zaidi, shupavu	แข็งแรงกว่า แข็งแรง	жорсткіший, жорсткий								aswan chachim, chachi		زیادہ مضبوط، مضبوط				sendoagoa, sendoa	أصعب، صعب	по-як, як						বেশি শক্ত, শক্ত	stoerder, stoer				更严格，宽松	strenger, streng						უფრო ძლიერი, ძლიერი	अधिक सख़्त, सख़्त				pi di, di	lebih tangguh, tangguh	жестче, жесткий																丈夫, 丈夫				முரட்டுத்தனமானவர், முரட்டுத்தனம் உள்ளவர்								қаттырақ, қатты	سرسخت‌تر، سرسخت						더 터프한, 터프한	bardziej wytrzymały, wytrzymały												keményebb, kemény				mais resistente, resistente				lebih lasak, lasak	daha möhkəmdir, möhkəmdir	σκληρότερος, σκληρός						વધુ કઠોર, કઠોર	wahala sosai, wahala	ryžtingesnis, ryžtingas						കടുപ്പമുള്ളത്, കടുപ്പം	अधिक कणखर, कणखर						ਜ਼ਿੱਦੀ, ਜ਼ਿੱਦੀ				mas matigas, matigas	కఠినాత్ములు, కఠినం	daha sert, sert				cứng cáp hơn, cứng cáp								gëna dëgër, dëgër	le-jù, le			
adj	cooler, cool	koeler, koel	ပို၍အေးသော၊ အေးသော	lahedam, lahe				viileämpi, viileä						plus cool, cool						מגניב יותר, מגניב				più figo, figo				luwih adhem, adhem	más fresco, fresco				mpole zaidi, mpole	เจ๋งกว่า เจ๋ง	спокійніший, спокійний								aswan hawkam, hawka		زیادہ خوش مزاج، خوش مزاج				lasaiagoa, lasaia	أبرد، بارد	по-готин, готин						বেশি শান্ত, শান্ত	cooler, cool				更酷，不酷	cooler, cool						უფრო მაგარი, მაგარი	अधिक शांत/बेपरवाह, शांत/बेपरवाह				pi poze, poze	lebih dingin, dingin	круче, крутой																冷静, 冷静				சாந்தமானவர், சாந்தமுடையவர்								суығырақ, суық	باحال‌تر، باحال						더 냉정한, 냉정한	fajniejszy, fajny												lazább, laza				mais legal, legal				lebih sejuk, sejuk	daha soyuqqanlıdır, soyuqqanlıdır	πιο άνετος, άνετος						વધુ શાંત, શાંત	sanyi sosai, sanyi	ramesnis, ramus						തണുത്തത്, തണുപ്പ്	अधिक शांत, शांत						ਸ਼ਾਂਤ, ਸ਼ਾਂਤ				mas malamig, malamig	నిబ్బరంగా ఉంటారు, నిబ్బరం	daha havalı, havalı				điềm tĩnh hơn, điềm tĩnh								gëna teey, teey	tutù-jù, tutù			
adj	faster, fast	vinniger, vinnig	ပို၍မြန်သော၊ မြန်သော	kiirem, kiire				nopeampi, nopea						plus rapide, rapide						מהיר יותר, מהיר				più veloce, veloce				luwih cepet, cepet	más rápido, rápido				mwenye kasi zaidi, mwenye kasi	เร็วกว่า เร็ว	швидший, швидкий								aswan utqaqmi, utqaq		زیادہ تیز، تیز				bizkorragoa, bizkorra	أسرع، سريع	по-бърз, бърз						বেশি দ্রুত, দ্রুত	sneller, snel				更快，慢	schneller, schnell						უფრო ჩქარი, ჩქარი	अधिक तेज़, तेज़				pi rapid, rapid	lebih cepat, cepat	быстрее, медленнее																速, 速				வேகமானவர், வேகமுடையவர்								жылдамырақ, жылдам	سریع‌تر، سریع						더 빠른, 빠른	szybszy, szybki												gyorsabb, gyors				mais rápido, rápido				lebih cepat, cepat	daha sürətlidir, sürətlidir	γρηγορότερος, γρήγορος						વધુ ઝડપી, ઝડપી	sauri sosai, sauri	greitesnis, greitas						വേഗമേറിയത്, വേഗം	अधिक वेगवान, वेगवान						ਤੇਜ਼, ਤੇਜ਼				mas mabilis, mabilis	వేగంగా ఉంటారు, వేగం	daha hızlı, hızlı				nhanh hơn, nhanh								gëna gaaw, gaaw	yára-jù, yára			
adj	nicer, nice	vriendeliker, vriendelik	ပို၍ကောင်းမွန်သော၊ ကောင်းမွန်သော	meeldivam, meeldiv				kivempi, kiva						plus sympathique, sympathique						נחמד יותר, נחמד				più carino, carino				luwih nyenengake, nyenengake	más agradable, agradable				mwema zaidi, mwema	ดีกว่า ดี	приємніший, приємний								aswan utqaymi, utqay		زیادہ اچھا، اچھا				atseginagoa, atsegina	ألطف، لطيف	по-мил, мил						বেশি চমৎকার, চমৎকার	aardiger, aardig				更友好，不友好	netter, nett						უფრო სასიამოვნო, სასიამოვნო	अधिक अच्छा, अच्छा				pi janti, janti	lebih manis, manis	приятнее, приятный																親切, 親切				இனிமையானவர், இனிமையானவர்								жақсырақ, жақсы	خوش‌برخوردتر، خوش‌برخورد						더 멋진, 멋진	milszy, miły												kedvesebb, kedves				mais legal, legal				lebih cantik, cantik	daha qəşəngdir, qəşəngdir	ευγενέστερος, ευγενικός						વધુ સુંદર, સુંદર	kyau sosai, mai kyau	gražesnis, gražus						ആകർഷകമായത്, ആകർഷകം	अधिक छान, छान						ਚੰਗਾ, ਚੰਗਾ				mas mabait, mabait	చక్కగా ఉంటారు, చక్క	daha hoş, hoş				tốt tính hơn, tốt tính								gëna rafet, rafet	dára-jù, dára			
adj	smaller, small	kleiner, klein	ပို၍သေးငယ်သော၊ သေးငယ်သော	väiksem, väike				pienempi, pieni						plus petit, petit						קטן יותר, קטן				più piccolo, piccolo				luwih cilik, cilik	más pequeño, pequeño				mdogo zaidi, mdogo	ตัวเล็กกว่า ตัวเล็ก	менший, малий								aswan uchuymi, uchuy		چھوٹا، چھوٹا				txikiagoa, txikia	أصغر، صغير	по-малък, малък						বেশি ছোট, ছোট	kleiner, klein				更小，大	kleiner, klein						უფრო პატარა, პატარა	अधिक छोटा, छोटा				pi piti, piti	lebih kecil, kecil	меньше, больше																小柄, 小柄				சிறியவர், சிறியவர்								кішірек, кішкентай	کوچک‌تر، کوچک						더 작은, 작은	mniejszy, mały												kisebb, nagyobb				menor, menor				lebih kecil, kecil	daha kiçikdir, kiçikdir	μικρότερος, μικρός						વધુ નાનો, નાનો	ƙanƙanta, ƙarami	mažesnis, mažas						ചെറുത്, ചെറുത്	अधिक लघु, लघु						ਛੋਟਾ, ਛੋਟਾ				mas maliit, maliit	చిన్నగా ఉంటారు, చిన్న	daha küçük, küçük				nhỏ hơn, nhỏ								gëna tuuti, tuuti	kéré-jù, kéré			
adj	darker, dark	donkerder, donker	ပို၍မဲမှော‌င်သော၊ မဲမှောင်သော	süngem, sünge				tummempi, tumma						plus foncé, foncé						כהה יותר, כהה				più scuro, scuro				luwih peteng, peteng	más oscuro, oscuro				mweusi zaidi, mweusi	คล้ำกว่า คล้ำ	темніший, темний								aswan yanam, yana		زیادہ کالا، کالا				ilunagoa, iluna	أدكن، داكن	по-тъмен, тъмен						বেশি শ্যামলা, শ্যামলা	donkerder, donker				更邪恶，善良	dunkler, dunkel						უფრო მუქი, მუქი	अधिक सांवला, सांवला				pi sonm, sonm	lebih gelap, gelap	темнее, светлее																色黒, 色黒				கருப்பானவர், கருப்பானவர்								қараңғылау, қараңғы	سبزه‌تر، سبزه						더 어두운, 어두운	ciemniejszy, ciemny												sötétebb, világosabb				mais sombrio, sombrio				lebih gelap, gelap	daha tünddür, tünddür	σκοτεινότερος, σκοτεινός						વધુ શ્યામ, શ્યામ	duhu sosai, duhu	tamsesnis, tamsus						ഇരുണ്ടത്, ഇരുട്ട്	अधिक गडद, गडद						ਕਾਲਾ, ਕਾਲਾ				mas maitim, maitim	నలుపుగా ఉంటారు, నలుపు	daha koyu, koyu				đen hơn, đen								gëna lëndëm, lëndëm	sókùnkùn-jù, sókùnkùn			
adj	wiser, wise	verstandiger, verstandig	ပို၍အမျှော်အမြင်ရှိသော၊ အမျှော်အမြင်ရှိသော	targem, tark				viisaampi, viisas						plus sage, sage						חכם יותר, חכם				più saggio, saggio				luwih wicaksana, wicaksana	más sabio, sabio				mwenye busara zaidi, mwenye busara	ฉลาดกว่า ฉลาด	мудріший, мудрий								aswan yachayniyuqmi, yachayniyuq		زیادہ عقلمند، عقلمند				jakintsuagoa, jakintsua	أكثر حكمة، حكيم	по-мъдър, мъдър						বেশি জ্ঞানী, জ্ঞানী	slimmer, slim				更明智，愚蠢	klüger, klug						უფრო ჭკვიანი, ჭკვიანი	अधिक बुद्धिमान, बुद्धिमान				pi saj, saj	lebih bijaksana, bijaksana	умнее, умный																賢明, 賢明				விவேகமானவர், விவேகமுள்ளவர்								данарақ, дана	عاقل‌تر، عاقل						더 현명한, 현명한	mądrzejszy, mądry												bölcsebb, bölcs				mais sábio, sábio				lebih bijak, bijak	daha müdrikdir, müdrikdir	σοφότερος, σοφός						વધુ ચતુર, ચતુર	hikima sosai, hikima	išmintingesnis, išmintingas						ജ്ഞാനമുള്ളത്, ജ്ഞാനം	अधिक समंजस, समंजस						ਸਿਆਣਾ, ਸਿਆਣਾ				mas matalino, matalino	తెలివిగా ఉంటారు, తెలివి	daha bilge, bilge				thông minh hơn, thông minh								gëna ñor, ñor	gbọ́n-jù, gbọ́n			
adj	richer, rich	ryker, ryk	ပို၍ချမ်းသာသော၊ ချမ်းသာသော	rikkam, rikas				rikkaampi, rikas						plus riche, riche						עשיר יותר, עשיר				più ricco, ricco				luwih sugih, sugih	más rico, rico				tajiri zaidi, tajiri	รวยกว่า รวย	багатший, багатий								aswan qullqiyuqmi, qullqiyuq		زیادہ امیر، امیر				aberatsagoa, aberatsa	أغنى، غني	по-богат, богат						বেশি ধনী, ধনী	rijker, rijk				更富有，贫穷	reicher, reich						უფრო მდიდარი, მდიდარი	अधिक धनी, धनी				pi rich, rich	lebih kaya, kaya	богаче, беднее																裕福, 裕福				செல்வந்தர், செல்வந்தர்								байырақ, бай	پولدارتر، پولدار						더 부유한, 부유한	bogatszy, bogaty												gazdagabb, gazdag				mais rico, rico				lebih kaya, kaya	daha zəngindir, zəngindir	πλουσιότερος, πλούσιος						વધુ ઘનવાન, ધનવાન	arziƙi sasai, arziƙi	turtingesnis, turtingas						സമ്പന്നമായത്, സമ്പന്നത	अधिक श्रीमंत, श्रीमंत						ਅਮੀਰ, ਅਮੀਰ				mas mayaman, mayaman	ధనవంతుడు, ధనవంతుడు	daha zengin, zengin				giàu hơn, giàu								ëpp xaalis, am xaalis	lówó-jù, lówó			
adj	greater, great	wonderliker, wonderlik	ပို၍ကြီးမားသော၊ ကြီးမားသော	toredam, tore				mahtavampi, mahtava						meilleur, bien						עצום יותר, עצום				più grosso, grosso				luwih agung, agung	más estupendo, estupendo				mkuu zaidi, mkuu	ยอดเยี่ยมกว่า ยอดเยี่ยม	видатніший, видатний								aswan allinmi, allin		زیادہ عظیم، عظیم				handiagoa, handia	أعظم، عظيم	по-велик, велик						বেশি মহৎ, মহৎ	beter, goed				更出色，平庸	größer, groß						უფრო დიდი, დიდი	अधिक महान, महान				pi fòmidab, fòmidab	lebih besar, besar	больше, меньше																偉大, 偉大				சிறப்பானவர், சிறப்பானவர்								үлкенірек, үлкен	بزرگ‌تر، بزرگ						더 뛰어난, 뛰어난	większy, wielki												nagyszerűbb, nagyszerű				mais incrível, incrível				lebih hebat, hebat	daha böyükdür, böyükdür	καλύτερος, καλός						વધુ મહાન, મહાન	yawa sosai, yawa	puikesnis, puikus						മഹത്തായത്, മഹത്വം	अधिक श्रेष्ठ, श्रेष्ठ						ਮਹਾਨ, ਮਹਾਨ				mas dakila, dakila	గొప్పవారు, గొప్ప	daha büyük, büyük				vĩ đại hơn, vĩ đại								gëna mag, mag	tóbi-jù, tóbi			
adj	weaker, weak	swakker, swak	ပို၍အားနည်းသော၊ အားနည်းသော	nõrgem, nõrk				heikompi, heikko						plus faible, faible						חלש יותר, חלש				più debole, debole				luwih ringkih, ringkih	más débil, débil				mnyonge zaidi, mnyonge	อ่อนแอกว่า อ่อนแอ	слабший, слабкий								aswan unpum, unpu		زیادہ کمزور، کمزور				ahulagoa, ahula	أضعف، ضعيف	по-слаб, слаб						বেশি দুর্বল, দুর্বল	zwakker, zwak				更软弱，强壮	schwächer, schwach						უფრო სუსტი, სუსტი	अधिक कमज़ोर, कमज़ोर				pi fèb, fèb	lebih lemah, lemah	слабее, сильнее																虚弱, 虚弱				பலவீனமானவர், பலவீனமுடையவர்								осалырақ, осал	ضعیف‌تر، ضعیف						더 약한, 약한	słaby, słabszy												gyengébb, erősebb				mais fraco, fraco				lebih lemah, lemah	daha zəifdir, zəifdir	πιο αδύναμος, αδύναμος						વધુ નબળો, નબળો	rauni sosai, rauni	silpnesnis, silpnas						ദുർബലമായത്, ദുർബലം	अधिक दुर्बल, दुर्बल						ਕਮਜੋਰ, ਕਮਜੋਰ				mas mahina, mahina	బలహీనంగా ఉంటారు, బలహీనం	daha zayıf, zayıf				yếu hơn, yếu								gëna sew, sew	láìlágbára-jù, láìlágbára			
adj	higher, high	hoër, hoog	ပို၍မြင်မာသော၊ မြင်မာသော	kõrgem, kõrge				korkeampi, korkea						plus haut, haut						גבוה יותר, גבוה				più importante, importante				luwih dhuwur, dhuwur	más elevado, elevado				yuko juu zaidi, yuko juu	สูงกว่า สูง	вищий, високий								aswan hatunmi, hatun		زیادہ اونچا، اونچا				altuagoa, altua	أعلى، عالٍ	по-висок, висок						বেশি লম্বা, লম্বা	hoger, hoog				更高，矮	höher, hoch						უფრო მაღალი, მაღალი	अधिक ऊंचा, ऊंचा				pi wo, wo	lebih tinggi, tinggi	выше, ниже																高位, 高位				உயர்ந்தவர், உயரமுள்ளவர்								биігірек, биік	بالاتر، بالا						더 높은, 높은	wysoki, wyższy												magasabb, alacsonyabb				mais alto, alto				lebih tinggi, tinggi	daha yüksəkdir, yüksəkdir,	υψηλότερος, υψηλός						વધુ ઉંચો, ઉંચો	tsawo sosai, tsawo	didesnis, didelis						ഉയർന്നത്, ഉയരം	अधिक उच्च, उच्च						ਉੱਚਾ, ਉੱਚਾ				mas mataas, mataas	అత్యధికం, అత్యధికం	daha yüksek, yüksek				cao hơn, cao								gëna guddu, guddu	ga-jù, ga			
adj	slower, slow	stadiger, stadig	ပို၍နှေးကွေးသော၊ နှေးကွေးသော	aeglasem, aeglane				hitaampi, hidas						plus lent, lent						איטי יותר, איטי				più lento, lento				luwih alon, alon	más lento, lento				hufanya mambo polepole zaidi, hufanya mambo polepole	ช้ากว่า ช้า	повільніший, повільний								aswan samam, sama		زیادہ آہستہ، آہستہ				mantsoagoa, mantsoa	أبطأ، بطيء	по-бавен, бавен						বেশি ধীর, ধীর	langzamer, langzaam				更慢，快	langsamer, langsam						უფრო ნელი, ნელი	अधिक धीमा, धीमा				pi lan, lan	lebih lambat, lambat	медленнее, быстрее																遅, 遅				மந்தமானவர், மந்தமுள்ளவர்								баяуырақ, баяу	کندتر، کند						더 느린, 느린	wolniejszy, wolny												lassabb, gyorsabb				mais devagar, devagar				lebih lambat, lambat	daha yavaşdır, yavaşdır	πιο αργός, αργός						વધુ ધીમો, ધીમો	maras sauri sosai, maras sauri	lėtesnis, lėtas						സാവധാനമുള്ളത്, സാവധാനം	अधिक धीमा, धीमा						ਹੌਲੀ, ਹੌਲੀ				mas mabagal, mabagal	నెమ్మదిగా ఉంటారు, నెమ్మది	daha yavaş, yavaş				chậm hơn, chậm								gëna yeex, yeex	falẹ̀-jù, falẹ̀			
adj	stranger, strange	vreemder, vreemd	ပို၍ထူးခြားသော၊ ထူးခြားသော	kummalisem, kummaline				oudompi, outo						plus étrange, étrange						מוזר יותר, מוזר				più strano, strano				luwih aneh, aneh	más raro, raro				anashangaza zaidi, anashangaza	แปลกกว่า แปลก	дивніший, дивний								aswan hukniraqmi, hukniraq		زیادہ عجیب، عجیب				arraroagoa, arraroa	أغرب، غريب	по-странен, странен						বেশি অদ্ভুত, অদ্ভুত	vreemder, vreemd				更陌生，熟悉	seltsamer, seltsam						უფრო უცნაური, უცნაური	अधिक विचित्र, विचित्र				pi etranj, etranj	lebih asing, asing	страннее, странный																変, 変				விசித்திரமானவர், விசித்திரமானவர்								бөтенірек, бөтен	عجیب‌تر، عجیب						더 이상한, 이상한	dziwniejszy, dziwny												furcsább, furcsa				mais estranho, estranho				lebih pelik, pelik	daha qəribədir, qəribədir	πιο παράξενος, παράξενος						વધુ અજાણ, અજાણ	baƙo, sabo	keistesnis, keistas						അപരിചിതമായത്, അപരിചിതം	अधिक अपरिचित, अपरिचित						ਓਪਰਾ, ਓਪਰਾ				mas naiiba, naiiba	అపరిచితులు, అపరిచితులు	daha tuhaf, tuhaf				lạ lùng hơn, lạ lùng								gëna doywaar, doywaar	s'àjèjì-jù, s'àjèji			
adj	cleaner, clean	skoner, skoon	ပို၍သန်ရှင်းသော၊ သန့်ရှင်းသော	puhtam, puhas				puhtaampi, puhdas						plus propre, propre						נקי יותר, נקי				più pulito, pulito				luwih resik, resik	más limpio, limpio				msafi zaidi, msafi	สะอาดกว่า สะอาด	охайніший, охайний								aswan chuyam, chuya		زیادہ صاف، صاف				garbiagoa, garbia	أنظف، نظيف	по-чист, чист						বেশি পরিষ্কার, পরিষ্কার	schoner, schoon				更整洁，邋遢	sauberer, sauber						უფრო სუფთა, სუფთა	अधिक साफ, साफ				pi pwòp, pwòp	lebih bersih, bersih	чище, грязнее																清潔, 清潔				தூய்மையானவர், தூய்மை உடையவர்								тазарақ, таза	تمیزتر، تمیز						더 깨끗한, 깨끗한	czystszy, czysty												tisztább, tiszta				mais limpo, limpo				lebih bersih, bersih	daha təmizdir, təmizdir	καθαρότερος, καθαρός						વધુ સાફ, સાફ	mai tsabtacewa, tsabtatacce	švaresnis, švarus						ശുദ്ധമായത്, ശുദ്ധം	अधिक स्वच्छ, स्वच्छ						ਸਾਫ਼, ਸਾਫ਼				mas malinis, malinis	పరిశుభ్రమైనవారు, పరిశుభ్రం	daha temiz, temiz				sạch hơn, sạch								gëna set, set	mọ́-jù, mọ́			
    																																																																																																																																																																																	
Name	Intensifiers (very, super, extremely) and reducers (somewhat, kinda, etc)?																																																																																																																																																																																
Capability	Vocabulary																																																																																																																																																																																
